timesteps,collisions,fuel_used,alerts
0,0,0.1,28
1,0,0.1,28
2,0,0.1,28
3,0,0.1,28
4,0,0.1,28
5,0,0.1,28
6,0,0.1,28
7,0,0.1,28
8,0,0.1,28
9,0,0.1,28
10,0,0.1,28
11,0,0.1,28
12,0,0.1,28
13,0,0.1,28
14,0,0.1,28
15,0,0.1,28
16,0,0.1,28
17,0,0.1,28
18,0,0.1,28
19,0,0.1,28
20,0,0.1,28
21,0,0.1,28
22,0,0.1,28
23,0,0.1,28
24,0,0.1,28
25,0,0.1,27
26,0,0.1,27
27,0,0.1,27
28,0,0.1,26
29,0,0.1,26
30,0,0.1,26
31,0,0.1,26
32,0,0.1,25
33,0,0.1,25
34,0,0.1,25
35,0,0.1,25
36,0,0.1,24
37,0,0.1,24
38,0,0.1,24
39,0,0.1,23
40,0,0.1,23
41,0,0.1,21
42,0,0.1,21
43,0,0.1,21
44,0,0.1,21
45,0,0.1,21
46,0,0.1,21
47,0,0.1,21
48,0,0.1,21
49,0,0.1,21
